Rk,Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,,,,,,,,,,,,,,,,,,,,,
1,Cleveland Cavaliers*,44.5,90.8,.491,15.9,41.5,.383,28.6,49.3,.581,17.0,21.9,.776,11.2,34.2,45.4,28.1,8.2,4.3,13.2,18.1,121.9
2,Memphis Grizzlies*,44.8,93.3,.479,13.9,37.9,.367,30.8,55.5,.556,18.3,23.3,.786,12.9,34.4,47.3,28.4,8.9,5.6,15.7,20.9,121.7
3,Denver Nuggets*,45.4,89.8,.506,12.0,31.9,.376,33.4,57.8,.578,17.9,23.3,.770,11.2,34.5,45.7,31.0,8.0,4.9,14.3,17.6,120.8
4,Oklahoma City Thunder*,44.6,92.7,.482,14.5,38.8,.374,30.1,53.9,.559,16.7,20.4,.819,10.6,34.2,44.8,26.9,10.3,5.7,11.7,19.9,120.5
5,Atlanta Hawks*,43.4,91.8,.472,13.5,37.7,.358,29.9,54.1,.552,18.0,23.2,.775,11.9,32.6,44.5,29.6,9.7,5.1,15.5,19.1,118.2
7,Indiana Pacers*,43.6,89.3,.488,13.2,35.8,.368,30.4,53.6,.568,17.0,21.6,.789,9.2,32.7,41.8,29.2,8.5,5.5,13.2,18.7,117.4
8,Boston Celtics*,41.6,90.0,.462,17.8,48.2,.368,23.9,41.8,.571,15.3,19.1,.799,11.4,33.9,45.3,26.1,7.2,5.5,11.9,15.9,116.3
9,New York Knicks*,43.3,89.2,.486,12.6,34.1,.369,30.8,55.1,.558,16.5,20.7,.800,10.9,31.8,42.6,27.5,8.2,4.0,13.3,17.2,115.8
10,Sacramento Kings*,43.0,90.1,.478,12.6,35.2,.357,30.5,54.9,.555,17.1,21.2,.806,11.0,33.2,44.2,26.5,7.6,4.4,13.3,18.9,115.7
11,Milwaukee Bucks*,42.0,86.4,.486,14.2,36.6,.387,27.9,49.7,.560,17.3,23.1,.750,8.2,35.1,43.4,25.5,7.3,4.7,13.4,17.9,115.5
12,Detroit Pistons*,42.7,89.8,.476,12.8,35.4,.362,29.9,54.4,.550,17.2,22.3,.774,11.4,33.4,44.8,26.4,8.0,5.3,14.9,20.7,115.5
13,Minnesota Timberwolves*,41.0,87.6,.468,15.0,39.9,.377,26.0,47.7,.545,17.2,21.8,.789,11.1,33.2,44.3,26.1,8.0,5.0,14.5,18.3,114.3
14,Houston Rockets*,42.5,93.4,.455,12.7,35.8,.353,29.8,57.6,.518,16.7,22.6,.738,14.6,33.8,48.5,23.3,8.4,5.0,13.9,19.0,114.3
15,Dallas Mavericks*,42.0,87.7,.479,12.4,34.2,.364,29.5,53.6,.552,17.8,23.1,.770,10.1,33.0,43.0,25.2,7.8,5.4,14.0,17.8,114.2
17,Golden State Warriors*,40.8,90.4,.451,15.4,42.4,.364,25.3,48.0,.528,16.9,22.1,.764,12.5,32.8,45.4,29.1,9.4,4.8,14.0,19.2,113.8
19,Los Angeles Lakers*,40.9,85.5,.479,13.3,36.4,.366,27.6,49.1,.562,18.2,23.2,.785,9.7,32.8,42.4,26.0,7.7,4.5,14.0,17.3,113.4
20,Los Angeles Clippers*,41.6,86.3,.482,12.5,33.4,.373,29.1,52.9,.550,17.3,21.7,.797,10.3,33.5,43.8,25.2,9.4,4.5,14.9,18.3,112.9
24,Miami Heat*,40.5,87.0,.465,13.7,37.3,.367,26.8,49.7,.538,16.0,20.2,.791,9.7,33.7,43.4,26.4,8.1,3.8,13.6,15.5,110.6
28,Orlando Magic*,38.2,85.8,.445,11.2,35.3,.318,26.9,50.5,.533,17.9,23.0,.775,11.1,30.7,41.8,23.0,8.9,6.0,14.2,20.1,105.4
