Team,3P%,2P%,PTS
Boston Celtics*,.339,.497,104.5
Dallas Mavericks*,.340,.527,104.7
Golden State Warriors*,.339,.509,105.5
Miami Heat*,.339,.537,105.6
Cleveland Cavaliers,.353,.514,105.7
New York Knicks,.342,.527,106.6
Toronto Raptors*,.354,.538,107.1
Phoenix Suns*,.340,.510,107.3
Philadelphia 76ers*,.346,.527,107.3
Utah Jazz*,.350,.518,107.6
Los Angeles Clippers,.345,.513,108.4
Memphis Grizzlies*,.349,.522,109.9
New Orleans Pelicans*,.365,.546,110.3
Denver Nuggets*,.346,.549,110.4
Oklahoma City Thunder,.353,.536,111.8
Washington Wizards,.361,.522,112.0
Chicago Bulls*,.366,.536,112.0
Milwaukee Bucks*,.356,.537,112.1
Brooklyn Nets*,.345,.523,112.1
Orlando Magic,.363,.524,112.2
Atlanta Hawks*,.364,.541,112.4
Detroit Pistons,.362,.540,112.5
San Antonio Spurs,.360,.528,113.0
Minnesota Timberwolves*,.350,.543,113.3
Indiana Pacers,.372,.547,114.9
Charlotte Hornets,.362,.544,114.9
Los Angeles Lakers,.352,.548,115.1
Portland Trail Blazers,.371,.561,115.1
Sacramento Kings,.372,.547,115.8
Houston Rockets,.353,.570,118.2
