Team,3P%,2P%,PTS
New York Knicks*,.337,.512,104.7
Los Angeles Lakers*,.352,.524,106.8
Utah Jazz*,.341,.504,107.2
Los Angeles Clippers*,.356,.529,107.8
Miami Heat*,.365,.538,108.0
Philadelphia 76ers*,.360,.510,108.1
Phoenix Suns*,.354,.535,109.5
Denver Nuggets*,.363,.545,110.1
Dallas Mavericks*,.365,.525,110.2
Detroit Pistons,.362,.541,111.1
Boston Celtics*,.374,.524,111.2
Atlanta Hawks*,.349,.534,111.4
Charlotte Hornets,.366,.552,111.4
Chicago Bulls,.356,.541,111.6
Toronto Raptors,.379,.523,111.7
Memphis Grizzlies*,.367,.525,112.3
Cleveland Cavaliers,.383,.545,112.3
Golden State Warriors,.359,.511,112.7
San Antonio Spurs,.377,.527,112.8
Orlando Magic,.373,.539,113.3
Brooklyn Nets*,.365,.521,114.1
Milwaukee Bucks*,.384,.507,114.2
Portland Trail Blazers*,.372,.538,114.3
New Orleans Pelicans,.380,.535,114.9
Indiana Pacers,.366,.521,115.3
Oklahoma City Thunder,.364,.548,115.6
Houston Rockets,.382,.544,116.7
Sacramento Kings,.380,.549,117.4
Minnesota Timberwolves,.392,.536,117.7
Washington Wizards*,.369,.529,118.5
